CHEESE,LOW-SODIUM,CHEDDAR OR COLBY	100	398	32.62	1.91	24.35
EGG,WHOLE,RAW,FROZEN	100	148	10.2	1.05	11.95
EGG,WHITE,RAW,FROZEN	100	47	0	1.05	9.8
EGG,WHITE,DRIED	100	382	0	7.8	81.1
MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D	100	50	1.98	4.8	3.3
MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D	100	42	0.97	4.99	3.37
SOUR CREAM,REDUCED FAT	100	181	14.1	7	7
SOUR CREAM,LIGHT	100	138	10.6	7.1	3.5
SOUR CREAM,FAT FREE	100	74	0	15.6	3.1
USDA COMMODITY,CHS,CHEDDAR,RED FAT	100	282	18.3	2	27.2
YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR	100	43	0.18	7.5	3.86
PARMESAN CHS TOPPING,FAT FREE	100	370	5	40	40
CHEESE,CREAM,FAT FREE	100	105	1	7.66	15.69
YOGURT,CHOC,NONFAT MILK	100	112	0	23.53	3.53
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU	100	276	21	9.2	12
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT	100	215	9.5	16.2	16.3
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT	100	148	1	11.7	22.7
KRAFT VELVEETA PAST PROCESS CHS SPRD	100	303	22	9.8	16.3
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT	100	222	10.6	11.8	19.6
KRAFT BREAKSTONE'S RED FAT SOUR CRM	100	152	12	6.5	4.5
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM	100	91	1.3	15.1	4.7
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)	100	96	0.8	18.2	3.8
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)	100	108	0.8	21.9	3.2
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)	100	102	0.9	19.9	3.8
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T)	100	55	0.2	9.9	3.4
CREAM,HALF & HALF,FAT FREE	100	59	1.4	9	2.6
REDDI WIP FAT FREE WHIPPED TOPPING	100	149	5	25	3
MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA	100	78	1.9	12.13	2.99
YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER	100	105	1.41	18.6	4.86
CHEESE,PARMESAN,DRY GRATED,RED FAT	100	265	20	1.37	20
CREAM SUB,FLAV,LIQ	100	251	13.5	35.07	0.69
CREAM SUB,FLAV,PDR	100	498	21.47	75.42	0.68
CHEESE,PROVOLONE,RED FAT	100	274	17.6	3.5	24.7
CHEESE,MEXICAN,BLEND,RED FAT	100	282	19.4	3.41	24.69
EGG MIX,USDA CMDTY	100	549	34.5	23.97	35.6
MILK,WHL,3.25% MILKFAT, W/O VIT A & VIT D	100	61	3.27	4.78	3.15
MILK,DRY,WHL,WO/ ADDED VITAMIN D	100	496	26.71	38.42	26.32
MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D	100	135	7.56	10.04	6.81
CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D	100	240	14.1	10.6	17.6
YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D	100	99	1.15	18.64	3.98
YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D	100	102	1.08	19.05	4.37
YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D	100	95	0.2	19	4.4
YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D	100	105	1.41	18.6	4.86
YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D	100	85	1.25	13.8	4.93
YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D	100	43	0.18	7.5	3.86
YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D	100	112	0	23.53	3.53
PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR	100	411	17.14	18.5	45.71
PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR	100	396	12	22	50
DULCE DE LECHE	100	315	7.35	55.35	6.84
EGG SUB,LIQ OR FRZ,FAT FREE	100	48	0	2	10
ALLSPICE,GROUND	100	263	8.69	72.12	6.09
ANISE SEED	100	337	15.9	50.02	17.6
SPICES,BASIL,DRIED	100	251	3.98	60.96	14.37
SPICES,BAY LEAF	100	313	8.36	74.97	7.61
CARAWAY SEED	100	333	14.59	49.9	19.77
SPICES,CARDAMOM	100	311	6.7	68.47	10.76
CELERY SEED	100	392	25.27	41.35	18.07
CHERVIL,DRIED	100	237	3.9	49.1	23.2
CHILI POWDER	100	314	16.76	54.66	12.26
CINNAMON,GROUND	100	247	1.24	80.59	3.99
CLOVES,GROUND	100	323	20.07	61.21	5.98
CORIANDER LEAF,DRIED	100	279	4.78	52.1	21.93
CORIANDER SEED	100	298	17.77	54.99	12.37
CUMIN SEED	100	375	22.27	44.24	17.81
CURRY POWDER	100	325	13.81	58.15	12.66
DILL SEED	100	305	14.54	55.17	15.98
DILL WEED,DRIED	100	253	4.36	55.82	19.96
FENNEL SEED	100	345	14.87	52.29	15.8
FENUGREEK SEED	100	323	6.41	58.35	23
GARLIC POWDER	100	331	0.73	72.73	16.55
GINGER,GROUND	100	347	5.95	70.79	9.12
MACE,GROUND	100	475	32.38	50.5	6.71
MARJORAM,DRIED	100	271	7.04	60.56	12.66
SPICES,MUSTARD SD,GROUND	100	508	36.24	28.09	26.08
NUTMEG,GROUND	100	525	36.31	49.29	5.84
ONION POWDER	100	341	1.04	79.12	10.41
SPICES,OREGANO,DRIED	100	265	4.28	68.92	9
PAPRIKA	100	289	12.95	55.74	14.76
PARSLEY,DRIED	100	292	5.48	50.64	26.63
PEPPER,BLACK	100	255	3.26	64.81	10.95
PEPPER,RED OR CAYENNE	100	318	17.27	56.63	12.01
PEPPER,WHITE	100	296	2.12	68.61	10.4
POPPY SEED	100	525	41.56	28.13	17.99
POULTRY SEASONING	100	307	7.53	65.59	9.59
PUMPKIN PIE SPICE	100	342	12.6	69.28	5.76
ROSEMARY,DRIED	100	331	15.22	64.06	4.88
SAFFRON	100	310	5.85	65.37	11.43
SAGE,GROUND	100	315	12.75	60.73	10.63
SAVORY,GROUND	100	272	5.91	68.73	6.73
SPICES,TARRAGON,DRIED	100	295	7.24	50.22	22.77
SPICES,THYME,DRIED	100	276	7.43	63.94	9.11
TURMERIC,GROUND	100	354	9.88	64.93	7.83
BASIL,FRESH	100	23	0.64	2.65	3.15
